long_name	short_name	bxd_id	batch	off_epoch	type	gen_inbreeding	gen_breeding	note	cross_type
4512-JFI-0444_BXD79_RwwJ	BXD79_RwwJ_0444	BXD079	4_rww	epoch_3b	G10_RI	40	50	NA	AI
4512-JFI-0487_BXD81_RwwJ	BXD81_RwwJ_0487	BXD081	4_rww	epoch_3b	G10_RI	39	49	NA	AI
NA	NA	BXD082	4_rww	epoch_3b	NA	NA	NA	NA	AI
4512-JFI-0463_BXD83_RwwJ	BXD83_RwwJ_0463	BXD083	4_rww	epoch_3b	G10_RI	40	50	NA	AI
4512-JFI-0435_BXD84_RwwJ	BXD84_RwwJ_0435	BXD084	4_rww	epoch_3b	G10_RI	46	56	NA	AI
4512-JFI-0429_BXD85_RwwJ	BXD85_RwwJ_0429	BXD085	4_rww	epoch_3b	G10_RI	48	58	NA	AI
4512-JFI-0403_BXD086_RwwJ	BXD86_RwwJ_0403	BXD086	4_rww	epoch_3b	G10_RI	58	68	NA	AI
4512-JFI-0482_BXD087_RwwJ	BXD87_RwwJ_0482	BXD087	4_rww	epoch_3b	G10_RI	45	55	NA	AI
4512-JFI-0455_BXD88_2_RwwJ	BXD88_2_RwwJ_0455	BXD088	4_rww	epoch_3b	G10_RI	47	57	NA	AI
4512-JFI-0413_BXD89_RwwJ	BXD89_RwwJ_0413	BXD089	4_rww	epoch_3b	G10_RI	54	64	NA	AI
4512-JFI-0395_BXD090_RwwJ	BXD90_RwwJ_0395	BXD090	4_rww	epoch_3b	G10_RI	59	69	NA	AI
4512-JFI-0414_BXD91_RwwJ	BXD91_RwwJ_0414	BXD091	4_rww	epoch_3b	G10_RI	52	62	NA	AI
NA	NA	BXD093	4_rww	epoch_3b	NA	NA	NA	NA	AI
NA	NA	BXD094	4_rww	epoch_3b	NA	NA	NA	NA	AI
4512-JFI-0445_BXD095_RwwJ	BXD095_RwwJ_0445	BXD095	4_rww	epoch_3b	G10_RI	33	43	NA	AI
4512-JFI-0345_BXD098_RwwJ	BXD98_RwwJ_0345	BXD098	4_rww	epoch_3b	G10_RI	49	59	NA	AI
